-0.396321 -0.0234069
-0.370932 -0.00905503
-0.394248 0.0035983
-0.436317 0.0247088
-0.353308 0.0315789
-0.374301 0.0489704
0.352642 -0.0638161
-0.40545 0.0865967
0.438691 -0.106826
-0.415407 0.111154
0.36214 -0.112094
-0.382877 0.131706
-0.302953 0.113891
0.313505 -0.131379
0.339665 -0.14819
-0.324463 0.152093
-0.352645 0.173585
0.329937 -0.16991
-0.342636 0.182704
-0.330947 0.183421
-0.344171 0.19454
0.339095 -0.199684
-0.348328 0.210058
-0.309088 0.195879
0.299447 -0.204086
-0.294882 0.215367
0.305637 -0.244601
0.256401 -0.220263
-0.251651 0.233092
0.270576 -0.271381
0.249142 -0.263941
-0.26445 0.300379
-0.233291 0.276822
-0.229275 0.290968
0.227083 -0.304851
0.204642 -0.282156
0.236859 -0.349464
-0.212688 0.330396
0.185526 -0.317037
-0.18936 0.359068
-0.146234 0.297328
-0.178294 0.384798
-0.13941 0.32587
0.134269 -0.328124
0.144967 -0.369281
-0.131861 0.348412
0.115965 -0.333387
-0.120973 0.372792
0.129878 -0.428836
0.0909945 -0.323769
0.0938485 -0.361504
-0.0845336 0.383298
-0.0610833 0.325609
0.0534979 -0.355233
0.0502677 -0.379779
0.0417635 -0.377682
0.0313249 -0.37892
-0.0197034 0.36972
0.00470537 -0.382602
-0.00367371 -0.369616
-0.0145986 -0.416624
-0.0193999 -0.360983
-0.0264774 -0.386817
-0.0318547 -0.388867
-0.0367782 -0.387382
-0.0388266 -0.38275
-0.0387436 -0.382589
-0.0392459 -0.383262
-0.0429992 -0.386961
-0.0498462 -0.386444
-0.0585181 -0.383611
-0.0667776 -0.366281
-0.0945993 -0.392219
-0.108461 -0.373838
-0.128184 -0.367182
-0.127236 -0.330448
-0.178586 -0.376427
0.177788 0.333235
-0.189816 -0.304391
0.228421 0.318972
-0.278665 -0.360552
-0.21622 -0.256034
-0.242714 -0.288441
0.253115 0.290148
0.232039 0.258858
-0.248258 -0.274517
-0.262397 -0.298153
-0.227049 -0.262368
0.239372 0.275987
0.235366 0.262596
-0.238842 -0.253504
0.281883 0.283379
-0.317024 -0.298225
0.310597 0.275044
-0.318524 -0.24896
-0.270451 -0.19991
0.279242 0.188072
0.334691 0.20793
-0.321964 -0.181677
0.356686 0.190381
0.312842 0.157183
0.378668 0.179801
0.358106 0.159635
0.345126 0.148708
-0.380113 -0.156798
-0.337072 -0.138391
-0.345249 -0.137486
0.348839 0.133639
0.350727 0.120755
-0.342595 -0.105369
0.378003 0.104428
0.34591 0.0816575
0.432119 0.0810222
0.367868 0.0548699
0.366401 0.0484574
-0.37845 -0.0396778
0.429292 0.0432761
0.356456 0.0298903
0.377586 0.0228138
-0.378389 -0.0129901
-0.36533 -0.00578977
0.371933 -0.00293675
0.394936 -0.0190085
0.398575 -0.0357779
-0.42543 0.0564841
-0.366001 0.0562363
-0.371184 0.0609164
0.385018 -0.0682698
0.36462 -0.075316
0.389125 -0.0918505
-0.38705 0.104972
-0.36924 0.108385
0.371639 -0.115259
-0.37591 0.128558
-0.366466 0.134079
-0.392414 0.152523
-0.333815 0.138123
-0.359897 0.159151
0.33443 -0.159594
-0.365081 0.192749
-0.300298 0.16671
0.315694 -0.189843
0.331312 -0.213744
0.314083 -0.217731
0.317425 -0.232539
-0.304883 0.233625
0.309513 -0.244224
